Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
1,Sonja Christopher,63,"Walnut Creek, CA",Gym Teacher / Retired,16,White,F,True,False,CA,USA
1,B.B. Andersen,64,"Mission Hills, KS",Real Estate Developer,15,White,M,False,False,KS,USA
1,Stacey Stillman,27,"San Francisco, CA",Attorney,14,White,F,False,False,CA,USA
1,Ramona Gray,29,"Edison, NJ",Biochemist,13,African-American,F,False,False,NJ,USA
1,Dirk Been,23,"Spring Green, WI",Dairy Farmer,12,White,M,False,False,WI,USA
1,Joel Klug,27,"Sherwood, AR",Health Club Consultant,11,White,M,False,False,AR,USA
1,Gretchen Cordy,38,"Clarksville, TN",Teacher,10,White,F,False,False,TN,USA
1,Greg Buis,24,"Gold Hill, CO",Ivy League Graduate,9,White,M,False,False,CO,USA
1,Jenna Lewis,22,"Franklin, NH",Student,8,White,F,False,False,NH,USA
1,Gervase Peterson,30,"Willingboro, NJ",YMCA Basketball Coach,7,African-American,M,False,False,NJ,USA
1,Colleen Haskell,23,"Miami Beach, FL",Student,6,White,F,False,False,FL,USA
1,Sean Kenniff,30,"Carle Place, NY",Neurologist,5,White,M,False,False,NY,USA
1,Susan Hawk,38,"Palmyra, WI",Truck Driver,4,White,F,False,False,WI,USA
1,Rudy Boesch,72,"Virginia Beach, VA",Retired NAVY Seal,3,White,M,False,False,VA,USA
1,Kelly Wiglesworth,22,"Kernville, CA",River Rafting Guide,2,White,F,False,False,CA,USA
1,Richard Hatch,39,"Newport, RI",Corporate Trainer,1,White,M,True,False,RI,USA
2,Debb Eaton,45,"Milan, NH",Corrections Officer,16,White,F,False,False,NH,USA
2,Kel Gleason,32,"Fort Hood, TX",Army Intelligence Officer,15,Latin American,M,False,False,TX,USA
2,Maralyn Hershey,51,"Wakefield, VA",Retired Police Officer,14,White,F,False,False,VA,USA
2,Mitchell Olson,23,"Union City, NJ",Singer/Songwriter,13,White,M,True,False,NJ,USA
2,Kimmi Kappenberg,28,"Ronkonkoma, NY",Bartender,12,White,F,False,False,NY,USA
2,Michael Skupin,38,"White Lake, MI",Software Publisher,11,White,M,False,False,MI,USA
2,Jeff Varner,34,"New York, NY",Internet Projects Manager,10,White,M,True,False,NY,USA
2,Alicia Calaway,32,"New York, NY",Personal Trainer,9,African-American,F,False,False,NY,USA
2,Jerri Manthey,30,"Los Angeles, CA",Aspiring Actress,8,White,F,False,False,CA,USA
2,Nick Brown,23,"Steilacoom, WA",Law Student,7,African-American,M,False,False,WA,USA
2,Amber Mariano,22,"Beaver, PA",Administrative Assistant,6,White,F,False,False,PA,USA
2,Rodger Bingham,53,"Crittenden, KY",Teacher/Farmer,5,White,M,False,False,KY,USA
2,Elisabeth Filarski,23,"Newton, MA",Footwear Designer,4,White,F,False,False,MA,USA
2,Keith Famie,40,"West Bloomfield, MI",Chef,3,White,M,False,False,MI,USA
2,Colby Donaldson,26,"Dallas, TX",Auto Customizer,2,White,M,False,False,TX,USA
2,Tina Wesson,39,"Knoxville, TN",Personal Nurse,1,White,F,False,False,TN,USA
3,Diane Ogden,42,"Lincoln, NE",Mail Carrier,16,White,F,False,False,NE,USA
3,Jessie Camacho,27,"Orlando, FL",Sheriff,15,Latin American,F,False,False,FL,USA
3,Carl Bilancione,46,"Winter Springs, FL",Dentist,14,White,M,False,False,FL,USA
3,Linda Spencer,44,"Boston, MA",Career Counselor,13,African-American,F,False,False,MA,USA
3,Silas Gaither,23,"Los Angeles, CA",Bartender,12,White,M,False,False,CA,USA
3,Lindsey Richter,27,"Portland, OR",Advertising Executive,11,White,F,False,False,OR,USA
3,Clarence Black,24,"Detroit, MI",Basketball Coach,10,African-American,M,False,False,MI,USA
3,Kelly Goldsmith,22,"San Diego, CA",Behavior Analyst,9,White,F,False,False,CA,USA
3,Brandon Quinton,25,"Dallas, TX",Bartender,8,White,M,True,False,TX,USA
3,Frank Garrison,43,"Odessa, NY",Telephone Technician,7,White,M,False,False,NY,USA
3,Kim Powers,29,"Conshohocken, PA",Freelance Marketer,6,White,F,False,False,PA,USA
3,Teresa Cooper,42,"Jackson, GA",Flight Attendant,5,White,F,False,False,GA,USA
3,Tom Buchanan,46,"Rich Valley, VA",Goat Farmer,4,White,M,False,False,VA,USA
3,Lex van den Berghe,38,"Santa Cruz, CA",Marketing Manager,3,White,M,False,False,CA,USA
3,Kim Johnson,57,"Oyster Bay, NY",Retired Teacher,2,White,F,False,False,NY,USA
3,Ethan Zohn,27,"New York, NY",Professional Soccer Player,1,White,M,False,False,NY,USA
4,Peter Harkey,45,"Millis, MA",Bowling Alley Owner,16,White,M,False,False,MA,USA
4,Patricia Jackson,49,"Lugoff, SC",Truck Assembler,15,White,F,False,False,SC,USA
4,Hunter Ellis,33,"La Jolla, CA",Ex-Navy Fighter Pilot,14,White,M,False,False,CA,USA
4,Sarah Jones,24,"Newport Beach, CA",Account Manager,13,White,F,False,False,CA,USA
4,Gabriel Cade,23,"Hollywood, CA",Bartender,12,White,M,False,False,CA,USA
4,Gina Crews,28,"Gainesville, FL",Nature Guide,11,White,F,False,False,FL,USA
4,Rob Mariano,26,"Canton, MA",Construction Worker,10,White,M,False,False,MA,USA
4,John Carroll,36,"Omaha, NE",Nurse,9,White,M,True,False,NE,USA
4,Zoe Zanidakis,35,"Monhegan Island, ME",Fishing Boat Captain,8,White,F,False,False,ME,USA
4,Tammy Leitner,29,"Mesa, AZ",Crime Reporter,7,White,F,False,False,AZ,USA
4,Robert DeCanio,38,"College Point, NY",Limousine Driver,6,White,M,False,False,NY,USA
4,Sean Rector,30,"Los Angeles, CA",Teacher,5,African-American,M,False,False,CA,USA
4,Paschal English,57,"Thomaston, GA",Judge,4,White,M,False,False,GA,USA
4,Kathy Vavrick-O'Brien,47,"Burlington, VT",Real Estate Agent,3,White,F,False,False,VT,USA
4,Neleh Dennis,21,"Layton, UT",Student,2,White,F,False,False,UT,USA
4,Vecepia Towery,36,"Hayward, CA",Office Manager,1,African-American,F,False,False,CA,USA
5,John Raymond,40,"Slidell, LA",Pastor,16,White,M,False,False,LA,USA
5,Tanya Vance,27,"Kingsport, TN",Social Worker,15,White,F,False,False,TN,USA
5,Jed Hildebrand,25,"Dallas, TX",Dental Student,14,White,M,False,False,TX,USA
5,Ghandia Johnson,33,"Denver, CO",Legal Secretary,13,African-American,F,False,False,CO,USA
5,Stephanie Dill,29,"Fayetteville, AR",Firefighter,12,White,F,False,False,AR,USA
5,Robb Zbacnik,23,"Scottsdale, AZ",Bartender,11,White,M,False,False,AZ,USA
5,Shii Ann Huang,28,"New York, NY",Executive Recruiter,10,Asian-American,F,False,False,NY,USA
5,Erin Collins,26,"Austin, TX",Real Estate Agent,9,White,F,False,False,TX,USA
5,Ken Stafford,30,"Brooklyn, NY",Police Officer,8,White,M,False,False,NY,USA
5,Penny Ramsey,27,"Plano, TX",Pharmaceutical Saleswoman,7,White,F,False,False,TX,USA
5,Jake Billingsley,61,"McKinney, TX",Land Broker,6,White,M,False,False,TX,USA
5,"Ted Rogers, Jr.",37,"Durham, NC",Software Developer,5,African-American,M,False,False,NC,USA
5,Helen Glover,47,"Middletown, RI",Navy Swim Instructor,4,White,F,False,False,RI,USA
5,Jan Gentry,53,"Tampa, FL",Teacher,3,White,F,False,False,FL,USA
5,Clay Jordan,46,"Monroe, LA",Restaurant Owner,2,White,M,False,False,LA,USA
5,Brian Heidik,34,"Quartz Hill, CA",Used Car Salesman,1,White,M,False,False,CA,USA
6,Ryan Aiken,23,"Ellicott City, MD",Model,16,White,M,False,False,MD,USA
6,Janet Koth,47,"Manchester, MO",Homemaker,15,White,F,False,False,MO,USA
6,Daniel Lue,27,"Houston, TX",Tax Accountant,14,Asian-American,M,False,False,TX,USA
6,JoAnna Ward,31,"Orangeburg, SC",Guidance Counselor,13,African-American,F,False,False,SC,USA
6,Jeanne Hebert,41,"North Attleborough, MA",Marketing Director,12,White,F,False,False,MA,USA
6,Shawna Mitchell,23,"Redwood City, CA",Retail Saleswoman,11,White,F,False,False,CA,USA
6,Roger Sexton,56,"Valencia, CA",Construction Company Vice President,10,White,M,False,False,CA,USA
