,Season,Subtitle,Location,Original Tribes,Winner,Runner-Up 1,Runner-Up 2,Final Vote
0,1,Borneo,"Pulau Tiga, Sabah, Malaysia",Two tribes of eight new players,Richard Hatch,Kelly Wiglesworth,NA,4–3
1,2,The Australian Outback,"Herbert River at Goshen Station, Queensland, Australia",Two tribes of eight new players,Tina Wesson,Colby Donaldson,NA,4–3
2,3,Africa,"Shaba National Reserve, Kenya",Two tribes of eight new players,Ethan Zohn,Kim Johnson,NA,5–2
3,4,Marquesas,"Nuku Hiva, Marquesas Islands, French Polynesia",Two tribes of eight new players,Vecepia Towery,Neleh Dennis,NA,4–3
4,5,Thailand,"Ko Tarutao, Satun Province, Thailand",Two tribes of eight new players; picked by the two oldest players,Brian Heidik,Clay Jordan,NA,4–3
5,6,The Amazon,"Rio Negro, Amazonas, Brazil",Two tribes of eight new players divided by gender,Jenna Morasca,Matthew von Ertfelda,NA,6–1
6,7,Pearl Islands,"Pearl Islands, Panama",Two tribes of eight new players,Sandra Diaz-Twine,Lillian Morris,NA,6–1
7,8,All-Stars,"Pearl Islands, Panama",Three tribes of six returning players,Amber Mariano,Rob Mariano,NA,4–3
8,9,Vanuatu,"Efate, Shefa, Vanuatu",Two tribes of nine new players divided by gender,Chris Daugherty,Twila Tanner,NA,5–2
9,10,Palau,"Koror, Palau",A schoolyard pick of two tribes of nine new players each; two eliminated without a tribe,Tom Westman,Katie Gallagher,NA,6–1
10,11,Guatemala,"Laguna Yaxhá, Yaxhá-Nakúm-Naranjo National Park, Petén, Guatemala","Two tribes of nine, including two returning players",Danni Boatwright,Stephenie LaGrossa,NA,6–1
11,12,Panama,"Pearl Islands, Panama",Four tribes of four new players divided by age and gender,Aras Baskauskas,Danielle DiLorenzo,NA,5–2
12,13,Cook Islands,"Aitutaki, Cook Islands","Four tribes of five new players divided by ethnicity: African Americans, Whites, Hispanics, and Asians",Yul Kwon,Ozzy Lusth,Becky Lee,5–4–0
13,14,Fiji,"Macuata, Vanua Levu, Fiji","Two tribes of nine new players divided by one selected castaway, who would replace the first person voted out",Earl Cole,Cassandra Franklin,NA,9–0–0
14,15,China,"Zhelin, Jiujiang, Jiangxi, China",Two tribes of eight new players,Todd Herzog,Courtney Yates,Amanda Kimmel,4–2–1
15,16,Micronesia,"Koror, Palau",Two tribes of ten: new players against past contestants,Parvati Shallow,Amanda Kimmel,NA,5–3
16,17,Gabon,"Wonga-Wongue Presidential Reserve, Estuaire, Gabon","A schoolyard pick of two tribes of nine new players, starting with the oldest players",Bob Crowley,Susie Smith,Sugar Kiper,4–3–0
17,18,Tocantins,"Jalapão, Tocantins, Brazil",Two tribes of eight new players,J.T. Thomas,Stephen Fishbach,NA,7–0
18,19,Samoa,"Upolu, Samoa",Two tribes of ten new players,Natalie White,Russell Hantz,Mick Trimming,7–2–0
19,20,Heroes vs. Villains,"Upolu, Samoa","Two tribes of ten returning players divided by reputation: ""heroes"" vs. ""villains""",Sandra Diaz-Twine,Parvati Shallow,Russell Hantz,6–3–0
20,21,Nicaragua,"San Juan del Sur, Rivas, Nicaragua",Two tribes of ten new players divided by age,Fabio Birza,Chase Rice,Sash Lenahan,5–4–0
21,22,Redemption Island,"San Juan del Sur, Rivas, Nicaragua","Two tribes of nine, including two returning players",Rob Mariano,Phillip Sheppard,Natalie Tenerelli,8–1–0
22,23,South Pacific,"Upolu, Samoa","Two tribes of nine, including two returning players",Sophie Clarke,Coach Wade,Albert Destrade,6–3–0
23,24,One World,"Upolu, Samoa",Two tribes of nine new players divided by gender living on the same beach,Kim Spradlin-Wolfe,Sabrina Thompson,Chelsea Meissner,7–2–0
24,25,Philippines,"Caramoan, Camarines Sur, Philippines","Three tribes of six players, including three returning players who had been medically evacuated in a previous season",Denise Stapley,Michael Skupin,NA,6–1–1
25,26,Caramoan,"Caramoan, Camarines Sur, Philippines",Two tribes of ten: new players against past contestants,John Cochran,Sherri Biethman,NA,8–0–0
26,27,Blood vs. Water,"Palaui Island, Santa Ana, Cagayan, Philippines",Two tribes of ten: returning contestants against their loved ones[14],Tyson Apostol,Monica Culpepper,Gervase Peterson,7–1–0
27,28,Cagayan,"Palaui Island, Santa Ana, Cagayan, Philippines","Three tribes of six new players divided by primary attribute: ""brawn"" vs. ""brains"" vs. ""beauty""[15]",Tony Vlachos,Woo Hwang,NA,8–1
28,29,San Juan del Sur,"San Juan del Sur, Rivas, Nicaragua","Nine pairs of new players, each with a pre-existing relationship, divided into two tribes of nine[16]",Natalie Anderson,Jaclyn Schultz,Missy Payne,5–2–1
29,30,Worlds Apart,"San Juan del Sur, Rivas, Nicaragua","Three tribes of six new players divided by social class: ""white collar"" vs. ""blue collar"" vs. ""no collar""[17]",Mike Holloway,Carolyn Rivera,NA,6–1–1
30,31,Cambodia,"Koh Rong, Cambodia","Two tribes of ten returning players who only played once before, have not won, and were selected by public vote[19]",Jeremy Collins,Spencer Bledsoe,NA,10–0–0
31,32,Kaôh Rōng,"Koh Rong, Cambodia","Three tribes of six new players divided by primary attribute: ""brains"" vs. ""brawn"" vs. ""beauty""[20]",Michele Fitzgerald,Aubry Bracco,Tai Trang,5–2–0
32,33,Millennials vs. Gen X,"Mamanuca Islands, Fiji",Two tribes of ten new players divided by generation: millennials vs. Generation X[21],Adam Klein,Hannah Shapiro,NA,10–0–0
33,34,Game Changers,"Mamanuca Islands, Fiji",Two tribes of ten returning players[22],Sarah Lacina,Brad Culpepper,Troyzan Robertson,7–3–0
34,35,Heroes vs. Healers vs. Hustlers,"Mamanuca Islands, Fiji","Three tribes of six new players divided by dominant perceived trait: ""heroes"" vs. ""healers"" vs. ""hustlers""[23]",Ben Driebergen,Chrissy Hofbeck,Ryan Ulrich,5–2–1
35,36,Ghost Island,"Mamanuca Islands, Fiji",Two tribes of ten new players,Wendell Holland,Domenick Abbate,Laurel Johnson,5–5–0 1–0[d]
36,37,David vs. Goliath,"Mamanuca Islands, Fiji","Two tribes of ten new players divided by adversity: ""David"" (underdogs) vs. ""Goliath"" (overachievers)",Nick Wilson,Mike White,Angelina Keeley,7–3–0
37,38,Edge of Extinction,"Mamanuca Islands, Fiji","Two tribes of nine, including four returning players[24]",Chris Underwood,Gavin Whitson,Julie Rosenberg,9–4–0
38,39,Island of the Idols,"Mamanuca Islands, Fiji",Two tribes of ten new players. Past winners Rob Mariano and Sandra Diaz-Twine feature as non-playing mentors,Tommy Sheehan,Dean Kowalski,Noura Salman,8–2–0
39,40,Winners at War,"Mamanuca Islands, Fiji",Two tribes of ten winners of past Survivor seasons,Tony Vlachos,Natalie Anderson,Michele Fitzgerald,12–4–0
40,41,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Erika Casupanan,Deshawn Radden,Xander Hastings,7–1–0
41,42,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Maryanne Oketch,Mike Turner,Romeo Escobar,7–1–0
42,43,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Mike Gabler,Cassidy Clark,Owen Knight,7–1–0
43,44,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Yam Yam Arocho,Heidi Lagares-Greenblatt,Carolyn Wiger,7–1–0
44,45,—,"Mamanuca Islands, Fiji","Three tribes of six players, including one returning player who was medically evacuated in the previous season",Dee Valladares,Austin Li Coon,Jake O'Kane,5–3–0
45,46,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Kenzie Petty,Charlie Davis,Ben Katzman,5–3–0
46,47,—,"Mamanuca Islands, Fiji",Three tribes of six new players,Rachel LaMont,Sam Phalen,Sue Smey,7–1–0
47,48,—,"Mamanuca Islands, Fiji",Three tribes of six new players,TBA,TBA,NA,TBA
