Season,Contestant,Survival Score,Survival Average,Challenge Wins,Challenge Appearances,Challenge Win %,Sit Outs,Votes For Bootee,Votes Against (Total),Total Votes Cast,Tribal Council Appearances,Tribal Counicl %,Tribal Council Ratio (Weighted),Jury Votes For,Total Numbers Of Jurors,Jury Votes %,Idols Found,Idols Held,Idols Played,Votes Voided,Immunity Challenge Wins,Immunity Challenge Appearances,Advantages Found,Advantages Played,Notes
1,Kelly Wiglesworth,1.34,12.26,5.87,16.1,0.36,2,6,0,71,11,0.55,3.82,3,7,0.43,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,
1,Richard Hatch,1.58,7.82,1.87,16.1,0.12,0,9,6,70,10,0.89,2.52,4,7,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Rudy Boesch,1.09,3.95,1.62,15.1,0.11,3,10,8,71,10,0.99,2.33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Gretchen Cordy,1.12,3.85,1.23,3.07,0.4,0,3,4,31,4,0.72,2.63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Susan Hawk,0.95,3.67,0.87,15.1,0.06,0,9,5,70,10,0.89,2.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Colleen Haskell,0.57,3.51,2.56,12.07,0.21,3,3,7,61,8,0.36,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Sean Kenniff,0.78,3.3,1.87,14.1,0.13,0,6,9,66,9,0.65,1.44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Gervase Peterson,0.45,3.29,2.89,9.07,0.32,2,1,6,55,7,0.13,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Joel Klug,1.03,3.23,0.89,2.07,0.43,1,2,4,21,3,0.6,2.33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Greg Buis,0.67,3.12,2.56,5.07,0.5,2,1,6,40,5,0.17,0.56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Dirk Been,1.01,2.95,0.62,1.51,0.41,1,2,4,21,3,0.6,2.33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Jenna Lewis,0.8,2.47,1.23,7.07,0.17,0,4,11,48,6,0.63,1.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Ramona Gray,0.7,1.79,0.39,0.99,0.4,1,1,6,15,2,0.3,1.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Stacey Stillman,0.22,0.29,0.29,0.68,0.42,0,0,6,15,2,-0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Bb Andersen,-0.11,0.25,0.25,0.39,0.64,0,0,6,8,1,-0.75,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Sonja Christopher,-0.5,0.0,0.0,0.13,0.0,0,0,4,8,1,-0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Colby Donaldson,1.95,13.49,8.09,13.09,0.62,0,10,5,71,11,0.9,2.83,3,7,0.43,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,
2,Tina Wesson,1.62,11.02,0.59,13.09,0.05,0,10,0,70,10,1.0,7.0,4,7,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
